"","seqn","riagendr","ridageyr","ridreth1","ridreth3","dmdborn4","dmdeduc3","dmdeduc2","indhhin2"
"1",83732,1,62,3,3,1,NA,5,10
"2",83733,1,53,3,3,2,NA,3,4
"3",83734,1,78,3,3,1,NA,3,5
"4",83735,2,56,3,3,1,NA,5,10
"5",83736,2,42,4,4,1,NA,4,7
"6",83737,2,72,1,1,2,NA,2,14
"7",83741,1,22,4,4,1,NA,4,7
"8",83742,2,32,1,1,2,NA,4,6
"9",83743,1,18,5,6,1,11,NA,15
"10",83744,1,56,4,4,1,NA,3,3
"11",83747,1,46,3,3,2,NA,5,3
"12",83750,1,45,5,7,1,NA,2,10
"13",83752,2,30,2,2,1,NA,4,15
"14",83754,2,67,2,2,1,NA,5,6
"15",83755,1,67,4,4,1,NA,5,5
"16",83757,2,57,2,2,1,NA,1,5
"17",83758,1,80,3,3,1,NA,5,9
"18",83759,2,19,1,1,1,15,NA,7
"19",83761,2,24,5,6,2,NA,5,1
"20",83762,2,27,4,4,1,NA,4,8
"21",83767,2,54,5,6,2,NA,4,14
"22",83769,1,49,5,6,2,NA,2,10
"23",83773,2,80,3,3,1,NA,3,7
"24",83775,2,69,2,2,2,NA,1,2
"25",83776,2,58,1,1,1,NA,5,14
"26",83777,1,56,5,6,2,NA,2,7
"27",83781,2,27,4,4,1,NA,5,77
"28",83784,1,22,2,2,1,NA,4,NA
"29",83785,2,60,2,2,1,NA,5,15
"30",83786,1,51,4,4,1,NA,4,77
"31",83787,2,68,1,1,2,NA,1,4
"32",83788,2,69,3,3,1,NA,4,7
"33",83789,1,66,3,3,1,NA,5,10
"34",83790,1,56,3,3,1,NA,1,4
"35",83791,2,80,3,3,1,NA,2,12
"36",83799,2,37,2,2,1,NA,4,14
"37",83801,2,80,3,3,1,NA,5,77
"38",83802,2,29,1,1,1,NA,3,NA
"39",83803,1,27,4,4,1,NA,4,6
"40",83809,2,20,4,4,1,NA,3,14
"41",83812,2,68,1,1,1,NA,3,15
"42",83813,1,24,3,3,1,NA,4,6
"43",83816,1,27,3,3,1,NA,4,7
"44",83817,1,42,3,3,1,NA,5,15
"45",83818,2,80,2,2,2,NA,1,3
"46",83820,1,70,3,3,1,NA,5,10
"47",83821,1,80,3,3,1,NA,1,3
"48",83822,2,20,4,4,1,NA,4,6
"49",83823,2,29,1,1,2,NA,1,3
"50",83824,1,23,5,6,2,NA,5,NA
"51",83827,1,61,4,4,1,NA,3,10
"52",83828,2,39,1,1,2,NA,3,4
"53",83829,1,50,5,6,2,NA,5,15
"54",83832,2,50,1,1,2,NA,1,7
"55",83834,1,69,4,4,1,NA,3,3
"56",83836,2,18,1,1,1,9,NA,14
"57",83837,2,45,1,1,2,NA,2,14
"58",83843,1,80,3,3,1,NA,4,8
"59",83844,1,27,1,1,2,NA,2,7
"60",83845,2,44,4,4,1,NA,1,9
"61",83846,2,41,4,4,1,NA,4,NA
"62",83847,1,18,3,3,1,10,NA,15
"63",83849,1,71,2,2,1,NA,4,6
"64",83851,2,37,3,3,1,NA,3,8
"65",83853,2,49,3,3,1,NA,3,15
"66",83854,2,46,1,1,1,NA,5,9
"67",83856,1,30,3,3,1,NA,4,8
"68",83857,2,31,3,3,1,NA,5,15
"69",83860,1,41,4,4,1,NA,4,15
"70",83861,1,80,3,3,1,NA,5,8
"71",83862,2,19,2,2,1,15,NA,99
"72",83863,1,35,1,1,2,NA,3,14
"73",83865,2,21,3,3,1,NA,2,8
"74",83866,1,40,4,4,1,NA,4,14
"75",83869,2,67,3,3,1,NA,5,4
"76",83870,1,48,1,1,2,NA,3,9
"77",83871,2,30,1,1,2,NA,1,6
"78",83872,1,63,1,1,2,NA,3,99
"79",83874,1,54,1,1,2,NA,2,5
"80",83875,2,42,4,4,2,NA,5,10
"81",83876,2,71,3,3,1,NA,3,2
"82",83880,2,79,3,3,2,NA,1,3
"83",83881,2,32,3,3,2,NA,5,8
"84",83883,2,80,1,1,1,NA,2,2
"85",83884,1,61,1,1,1,NA,3,4
"86",83885,2,38,5,6,2,NA,4,14
"87",83886,1,74,3,3,1,NA,5,6
"88",83887,2,51,4,4,2,NA,2,99
"89",83889,1,26,3,3,1,NA,5,14
"90",83890,2,18,5,6,1,13,NA,6
"91",83891,2,54,3,3,1,NA,4,9
"92",83893,2,68,1,1,1,NA,1,4
"93",83894,1,60,4,4,1,NA,3,8
"94",83895,2,80,3,3,1,NA,3,4
"95",83897,2,29,3,3,1,NA,5,7
"96",83898,1,55,3,3,1,NA,4,8
"97",83899,1,27,3,3,1,NA,1,6
"98",83900,2,52,3,3,1,NA,5,3
"99",83902,1,49,3,3,1,NA,4,15
"100",83903,2,47,4,4,1,NA,4,7
"101",83904,2,80,4,4,1,NA,2,3
"102",83907,1,22,5,6,2,NA,5,NA
"103",83908,1,51,4,4,2,NA,3,6
"104",83909,2,49,3,3,1,NA,4,77
"105",83910,1,37,3,3,1,NA,3,10
"106",83911,2,43,4,4,1,NA,4,14
"107",83913,1,43,5,6,2,NA,1,7
"108",83914,2,23,2,2,2,NA,4,7
"109",83915,1,71,1,1,1,NA,4,6
"110",83919,1,19,1,1,1,13,NA,6
"111",83920,2,68,1,1,2,NA,1,3
"112",83924,2,48,3,3,1,NA,1,7
"113",83925,2,74,2,2,1,NA,3,8
"114",83926,1,66,3,3,1,NA,4,9
"115",83927,2,66,5,6,2,NA,5,10
"116",83928,2,62,1,1,1,NA,3,NA
"117",83931,1,37,2,2,1,NA,2,7
"118",83932,2,80,3,3,1,NA,4,8
"119",83933,2,31,3,3,1,NA,2,7
"120",83934,2,27,4,4,1,NA,3,3
"121",83935,2,44,5,6,2,NA,5,8
"122",83937,2,75,5,6,2,NA,1,8
"123",83938,1,45,5,6,2,NA,5,14
"124",83941,1,71,2,2,2,NA,3,NA
"125",83944,1,75,4,4,1,NA,4,4
"126",83946,1,43,3,3,1,NA,5,15
"127",83947,2,33,3,3,1,NA,4,10
"128",83949,2,78,3,3,1,NA,3,6
"129",83950,1,55,3,3,1,NA,2,2
"130",83951,1,24,4,4,1,NA,2,9
"131",83953,2,46,1,1,1,NA,5,15
"132",83954,1,53,3,3,1,NA,3,14
"133",83955,1,47,4,4,1,NA,4,14
"134",83958,2,47,4,4,1,NA,3,6
"135",83959,2,22,3,3,1,NA,4,4
"136",83961,2,44,3,3,1,NA,4,14
"137",83962,2,28,4,4,2,NA,5,7
"138",83963,2,44,4,4,1,NA,4,6
"139",83964,2,72,5,6,2,NA,2,10
"140",83965,1,49,1,1,1,NA,4,3
"141",83966,1,27,1,1,2,NA,2,4
"142",83967,1,40,5,7,1,NA,5,15
"143",83969,2,21,3,3,1,NA,4,6
"144",83971,2,26,3,3,1,NA,4,9
"145",83973,1,63,3,3,1,NA,5,15
"146",83975,2,65,2,2,1,NA,3,14
"147",83976,1,80,3,3,1,NA,4,5
"148",83977,2,80,3,3,1,NA,3,7
"149",83982,1,25,3,3,1,NA,5,15
"150",83983,2,71,2,2,1,NA,5,8
"151",83985,1,55,3,3,1,NA,5,15
"152",83986,1,40,3,3,1,NA,4,7
"153",83987,1,68,1,1,2,NA,1,3
"154",83988,1,21,1,1,1,NA,3,8
"155",83989,2,37,4,4,1,NA,2,1
"156",83990,2,79,1,1,2,NA,1,3
"157",83992,1,68,5,6,2,NA,5,15
"158",83993,2,41,4,4,1,NA,3,6
"159",83994,2,60,3,3,1,NA,5,15
"160",83995,1,43,4,4,1,NA,4,15
"161",83996,2,60,4,4,1,NA,5,77
"162",83998,2,31,3,3,1,NA,5,7
"163",83999,1,71,5,6,2,NA,1,3
"164",84001,2,54,2,2,1,NA,4,9
"165",84002,1,48,3,3,1,NA,4,15
"166",84005,1,26,4,4,1,NA,5,8
"167",84006,2,45,4,4,1,NA,2,4
"168",84007,2,27,5,7,1,NA,3,10
"169",84008,2,62,5,6,2,NA,3,7
"170",84010,2,68,3,3,1,NA,3,8
"171",84011,1,32,3,3,1,NA,4,7
"172",84012,1,24,1,1,1,NA,3,10
"173",84014,1,53,5,6,2,NA,5,15
"174",84015,1,73,1,1,2,NA,1,NA
"175",84016,2,41,1,1,2,NA,5,15
"176",84018,1,27,3,3,1,NA,5,14
"177",84019,1,54,4,4,1,NA,3,15
"178",84021,2,29,5,7,2,NA,4,8
"179",84022,2,60,1,1,2,NA,4,9
"180",84023,2,19,3,3,1,13,NA,NA
"181",84025,2,18,3,3,1,11,NA,8
"182",84026,1,44,5,7,1,NA,4,2
"183",84028,2,61,3,3,1,NA,5,15
"184",84029,2,28,1,1,1,NA,3,NA
"185",84030,1,46,1,1,2,NA,1,77
"186",84032,1,51,1,1,2,NA,4,77
"187",84033,2,41,5,7,1,NA,4,9
"188",84034,2,25,4,4,1,NA,4,7
"189",84036,1,36,3,3,2,NA,5,14
"190",84037,1,66,3,3,1,NA,5,15
"191",84038,2,23,3,3,1,NA,5,7
"192",84039,1,36,3,3,1,NA,2,7
"193",84040,1,62,5,6,2,NA,5,9
"194",84041,2,71,3,3,1,NA,4,15
"195",84042,1,75,3,3,1,NA,2,6
"196",84044,2,58,2,2,2,NA,1,8
"197",84046,2,45,3,3,1,NA,5,15
"198",84047,2,72,5,6,2,NA,5,15
"199",84050,2,79,3,3,1,NA,5,12
"200",84051,2,55,1,1,1,NA,5,9
"201",84055,2,64,5,6,2,NA,5,9
"202",84058,2,21,3,3,1,NA,4,9
"203",84061,2,50,3,3,1,NA,4,9
"204",84062,2,45,1,1,1,NA,4,3
"205",84065,2,48,3,3,1,NA,4,6
"206",84068,1,59,4,4,1,NA,4,9
"207",84069,2,61,4,4,1,NA,3,77
"208",84070,1,40,3,3,1,NA,4,12
"209",84071,2,72,5,6,2,NA,5,9
"210",84072,2,27,2,2,2,NA,4,9
"211",84073,2,39,2,2,1,NA,3,10
"212",84074,2,26,2,2,2,NA,1,12
"213",84075,1,62,3,3,1,NA,3,4
"214",84076,1,20,1,1,1,NA,3,7
"215",84077,2,46,2,2,2,NA,3,14
"216",84082,2,24,5,6,2,NA,5,14
"217",84086,1,45,3,3,1,NA,3,15
"218",84087,1,36,5,6,2,NA,5,15
"219",84088,2,45,3,3,1,NA,4,15
"220",84089,1,53,3,3,1,NA,4,7
"221",84090,2,26,3,3,1,NA,5,10
"222",84091,2,60,4,4,1,NA,4,15
"223",84092,2,58,5,6,2,NA,4,6
"224",84094,2,73,3,3,1,NA,5,15
"225",84095,2,61,4,4,2,NA,5,14
"226",84098,1,26,4,4,2,NA,3,7
"227",84099,1,74,1,1,1,NA,2,7
"228",84101,1,80,3,3,1,NA,5,9
"229",84103,1,33,3,3,1,NA,4,2
"230",84105,1,28,3,3,1,NA,4,6
"231",84106,1,57,5,6,2,NA,5,15
"232",84107,2,60,1,1,2,NA,1,12
"233",84108,1,63,3,3,1,NA,5,3
"234",84109,1,66,3,3,1,NA,5,15
"235",84110,1,28,1,1,2,NA,4,7
"236",84111,1,58,2,2,1,NA,4,NA
"237",84112,1,46,5,6,2,NA,1,5
"238",84114,1,59,3,3,1,NA,2,6
"239",84115,1,80,5,6,2,NA,3,77
"240",84118,2,72,2,2,2,NA,4,99
"241",84119,1,52,5,6,2,NA,2,NA
"242",84120,1,67,2,2,2,NA,4,6
"243",84121,1,18,1,1,1,11,NA,10
"244",84122,1,54,2,2,1,NA,2,12
"245",84125,2,72,3,3,1,NA,4,9
"246",84126,1,38,3,3,1,NA,2,6
"247",84128,2,46,1,1,2,NA,4,2
"248",84129,1,80,5,6,2,NA,1,3
"249",84130,2,26,3,3,1,NA,3,10
"250",84137,2,28,5,6,2,NA,5,8
"251",84139,2,78,2,2,2,NA,4,3
"252",84140,2,21,4,4,1,NA,4,1
"253",84142,1,24,3,3,1,NA,3,15
"254",84143,2,35,5,7,1,NA,1,9
"255",84147,1,78,1,1,2,NA,1,5
"256",84151,2,53,3,3,1,NA,5,15
"257",84152,2,46,2,2,2,NA,1,4
"258",84156,2,29,4,4,2,NA,4,3
"259",84157,1,45,3,3,1,NA,4,13
"260",84160,2,45,4,4,1,NA,5,15
"261",84165,1,57,1,1,2,NA,1,10
"262",84166,2,67,3,3,1,NA,5,14
"263",84167,1,46,5,6,2,NA,4,14
"264",84168,1,61,5,6,2,NA,1,5
"265",84169,1,43,5,7,1,NA,4,8
"266",84170,1,46,1,1,1,NA,4,8
"267",84171,2,30,3,3,1,NA,4,15
"268",84172,1,20,4,4,2,NA,4,6
"269",84173,1,52,1,1,1,NA,3,9
"270",84174,2,54,2,2,2,NA,4,8
"271",84177,1,77,1,1,1,NA,1,3
"272",84178,1,80,3,3,1,NA,2,14
"273",84180,1,33,2,2,1,NA,1,1
"274",84181,1,35,4,4,1,NA,3,1
"275",84182,2,41,5,6,2,NA,2,10
"276",84183,2,80,2,2,2,NA,1,7
"277",84184,1,58,5,7,1,NA,4,77
"278",84185,1,37,4,4,1,NA,3,7
"279",84186,1,45,1,1,2,NA,4,15
"280",84187,2,25,3,3,1,NA,3,15
"281",84188,2,61,2,2,2,NA,1,2
"282",84189,2,62,4,4,1,NA,1,10
"283",84192,2,27,2,2,1,NA,4,8
"284",84194,2,58,3,3,1,NA,3,14
"285",84195,1,45,4,4,1,NA,4,5
"286",84196,1,32,5,6,2,NA,2,14
"287",84197,1,59,3,3,1,NA,5,15
"288",84200,2,24,3,3,1,NA,4,9
"289",84201,1,78,3,3,1,NA,1,4
"290",84202,1,19,4,4,1,15,NA,15
"291",84203,1,21,4,4,1,NA,5,6
"292",84205,1,51,4,4,1,NA,3,8
"293",84208,2,67,1,1,1,NA,1,2
"294",84211,1,18,5,7,1,12,NA,15
"295",84212,2,67,2,2,2,NA,5,3
"296",84216,1,65,3,3,1,NA,5,12
"297",84217,2,59,4,4,1,NA,4,9
"298",84218,1,56,3,3,1,NA,4,15
"299",84219,1,31,3,3,1,NA,2,7
"300",84220,1,36,4,4,2,NA,4,15
"301",84222,1,44,2,2,1,NA,3,8
"302",84224,2,56,2,2,1,NA,3,12
"303",84225,1,60,3,3,1,NA,4,5
"304",84226,1,64,4,4,1,NA,3,5
"305",84227,1,36,3,3,1,NA,1,77
"306",84228,1,38,2,2,2,NA,1,12
"307",84229,2,43,4,4,1,NA,1,3
"308",84230,2,28,2,2,1,NA,5,14
"309",84231,2,75,5,7,1,NA,3,6
"310",84232,1,61,4,4,2,NA,2,8
"311",84234,2,40,4,4,1,NA,2,13
"312",84235,2,47,4,4,1,NA,4,5
"313",84236,1,75,5,7,1,NA,3,2
"314",84238,2,25,4,4,1,NA,3,4
"315",84239,1,74,3,3,1,NA,5,14
"316",84241,1,50,3,3,1,NA,1,NA
"317",84242,2,42,5,6,2,NA,5,15
"318",84245,2,43,3,3,1,NA,3,15
"319",84246,2,57,4,4,1,NA,5,7
"320",84248,2,29,4,4,1,NA,4,1
"321",84251,1,20,4,4,1,NA,2,6
"322",84256,1,63,3,3,1,NA,2,8
"323",84260,1,60,5,6,2,NA,1,6
"324",84264,1,61,4,4,2,NA,5,7
"325",84265,1,76,1,1,2,NA,1,4
"326",84267,1,58,3,3,1,NA,2,NA
"327",84269,1,26,5,7,1,NA,4,4
"328",84271,1,67,3,3,1,NA,5,7
"329",84273,1,63,5,6,2,NA,2,6
"330",84276,2,26,4,4,1,NA,4,5
"331",84277,2,28,1,1,2,NA,1,4
"332",84279,2,56,4,4,1,NA,3,4
"333",84280,1,77,3,3,1,NA,3,7
"334",84282,2,18,1,1,1,13,NA,14
"335",84284,2,70,5,7,1,NA,5,6
"336",84285,2,44,5,7,1,NA,4,2
"337",84287,1,34,3,3,1,NA,3,8
"338",84290,1,30,1,1,1,NA,3,8
"339",84291,2,36,4,4,1,NA,3,6
"340",84292,2,54,5,6,2,NA,3,12
"341",84293,1,41,3,3,1,NA,3,15
"342",84294,1,23,3,3,1,NA,2,6
"343",84295,2,58,5,7,1,NA,5,3
"344",84298,2,36,5,6,2,NA,5,15
"345",84299,1,51,3,3,1,NA,4,14
"346",84300,2,25,1,1,1,NA,5,99
"347",84301,1,72,5,7,1,NA,1,6
"348",84302,1,74,3,3,1,NA,3,9
"349",84303,2,68,2,2,1,NA,3,10
"350",84305,2,36,1,1,1,NA,3,2
"351",84308,2,41,3,3,1,NA,5,15
"352",84309,1,66,4,4,1,NA,2,NA
"353",84311,2,47,2,2,2,NA,4,3
"354",84315,1,60,2,2,1,NA,4,15
"355",84316,2,45,3,3,1,NA,5,14
"356",84318,1,39,4,4,1,NA,2,1
"357",84319,2,57,3,3,1,NA,5,12
"358",84321,2,62,1,1,1,NA,4,8
"359",84322,1,40,4,4,1,NA,2,99
"360",84323,2,21,4,4,1,NA,4,15
"361",84324,1,59,3,3,1,NA,2,4
"362",84327,1,63,4,4,2,NA,2,9
"363",84329,1,38,2,2,2,NA,1,NA
"364",84332,2,62,4,4,1,NA,2,2
"365",84336,2,80,3,3,1,NA,5,6
"366",84338,2,50,5,7,2,NA,4,14
"367",84347,2,28,3,3,2,NA,5,6
"368",84349,2,39,3,3,1,NA,4,8
"369",84353,1,54,5,6,2,NA,4,7
"370",84354,1,80,3,3,1,NA,4,5
"371",84357,1,25,1,1,1,NA,4,9
"372",84359,2,72,3,3,1,NA,4,12
"373",84360,1,55,4,4,1,NA,4,15
"374",84361,2,31,3,3,1,NA,5,15
"375",84363,2,36,1,1,2,NA,1,9
"376",84364,1,27,1,1,1,NA,3,13
"377",84366,2,48,1,1,2,NA,2,NA
"378",84368,1,42,4,4,2,NA,5,7
"379",84369,2,31,5,6,2,NA,5,NA
"380",84372,2,70,3,3,1,NA,2,4
"381",84374,2,74,4,4,1,NA,2,7
"382",84375,1,60,1,1,2,NA,1,4
"383",84376,1,55,1,1,1,NA,4,6
"384",84377,1,70,4,4,1,NA,3,99
"385",84378,2,45,4,4,1,NA,3,8
"386",84379,1,35,1,1,2,NA,3,10
"387",84380,1,35,3,3,1,NA,4,3
"388",84381,1,80,4,4,1,NA,2,6
"389",84383,2,32,5,7,1,NA,4,15
"390",84384,1,34,5,6,1,NA,5,14
"391",84385,1,18,3,3,1,13,NA,7
"392",84388,1,65,2,2,1,NA,2,7
"393",84389,2,66,3,3,1,NA,4,15
"394",84390,1,33,2,2,2,NA,3,6
"395",84391,1,18,3,3,1,13,NA,14
"396",84392,2,53,5,6,2,NA,3,77
"397",84393,1,35,2,2,2,NA,4,15
"398",84394,2,45,2,2,1,NA,2,7
"399",84395,2,25,3,3,1,NA,5,6
"400",84396,2,38,1,1,1,NA,3,7
"401",84398,1,38,3,3,1,NA,3,6
"402",84400,2,60,1,1,2,NA,1,3
"403",84401,2,19,4,4,1,13,NA,99
"404",84402,2,27,2,2,2,NA,4,5
"405",84403,1,61,3,3,1,NA,5,15
"406",84404,1,31,3,3,1,NA,4,10
"407",84405,1,33,5,6,2,NA,5,1
"408",84409,2,47,3,3,1,NA,3,6
"409",84410,2,28,2,2,2,NA,2,5
"410",84411,1,23,3,3,1,NA,4,NA
"411",84412,2,25,1,1,1,NA,4,4
"412",84413,1,41,5,6,2,NA,5,15
"413",84417,2,18,5,6,1,15,NA,15
"414",84418,1,75,1,1,2,NA,1,4
"415",84419,2,35,1,1,1,NA,5,8
"416",84420,1,27,4,4,1,NA,4,8
"417",84423,1,59,3,3,1,NA,4,2
"418",84424,1,69,3,3,1,NA,5,6
"419",84425,2,51,5,7,1,NA,4,2
"420",84426,1,51,5,6,1,NA,5,15
"421",84427,1,64,4,4,1,NA,3,10
"422",84429,2,45,4,4,1,NA,2,77
"423",84431,1,46,1,1,2,NA,2,9
"424",84433,1,18,4,4,1,13,NA,8
"425",84434,1,31,3,3,1,NA,5,77
"426",84435,2,80,3,3,1,NA,4,6
"427",84437,2,48,4,4,1,NA,4,12
"428",84440,2,30,5,7,2,NA,2,10
"429",84441,2,51,4,4,2,NA,4,12
"430",84442,2,34,3,3,2,NA,4,NA
"431",84443,1,64,5,7,1,NA,4,6
"432",84444,2,36,2,2,1,NA,4,15
"433",84447,1,77,3,3,1,NA,5,15
"434",84448,2,26,5,6,2,NA,5,15
"435",84450,2,18,1,1,1,15,NA,5
"436",84451,1,51,1,1,2,NA,1,15
"437",84452,2,56,3,3,2,NA,3,4
"438",84453,1,26,1,1,2,NA,3,8
"439",84454,2,60,4,4,1,NA,5,6
"440",84455,2,66,2,2,2,NA,1,3
"441",84456,2,42,5,6,2,NA,3,8
"442",84457,2,19,3,3,1,15,NA,6
"443",84459,2,31,5,6,2,NA,5,14
"444",84462,2,35,1,1,2,NA,3,2
"445",84463,1,59,5,6,2,NA,5,15
"446",84464,1,69,4,4,1,NA,5,7
"447",84466,2,19,1,1,1,11,NA,2
"448",84467,1,28,5,6,2,NA,5,NA
"449",84469,2,62,4,4,1,NA,4,14
"450",84470,1,23,5,6,1,NA,5,2
"451",84471,2,74,2,2,2,NA,3,15
"452",84473,2,22,3,3,1,NA,4,8
"453",84475,1,25,3,3,1,NA,3,6
"454",84479,2,55,5,6,2,NA,1,8
"455",84480,2,79,5,7,1,NA,4,6
"456",84481,1,72,1,1,2,NA,2,4
"457",84482,2,58,4,4,1,NA,4,10
"458",84485,2,24,4,4,1,NA,3,4
"459",84487,2,24,3,3,1,NA,4,9
"460",84488,1,54,3,3,1,NA,3,5
"461",84490,2,28,1,1,1,NA,4,15
"462",84492,1,37,4,4,2,NA,4,9
"463",84493,2,44,4,4,1,NA,3,2
"464",84494,2,22,2,2,2,NA,3,6
"465",84495,2,53,3,3,1,NA,3,6
"466",84496,1,51,1,1,2,NA,1,3
"467",84498,2,57,3,3,1,NA,3,15
"468",84499,1,56,5,6,2,NA,5,7
"469",84500,2,54,3,3,1,NA,5,15
"470",84502,1,56,5,6,2,NA,5,14
"471",84503,1,55,5,7,1,NA,4,15
"472",84505,2,23,3,3,1,NA,3,8
"473",84511,2,78,3,3,1,NA,5,14
"474",84513,2,65,2,2,2,NA,4,9
"475",84514,1,41,1,1,2,NA,1,6
"476",84517,2,80,3,3,1,NA,4,14
"477",84522,2,19,2,2,2,66,NA,NA
"478",84525,1,44,2,2,2,NA,1,NA
"479",84529,2,60,1,1,1,NA,2,8
"480",84530,1,80,3,3,1,NA,2,4
"481",84532,2,23,1,1,1,NA,2,6
"482",84534,2,62,1,1,2,NA,1,8
"483",84535,2,21,3,3,1,NA,3,10
"484",84536,1,31,1,1,2,NA,2,6
"485",84537,1,34,5,6,2,NA,5,4
"486",84539,2,25,3,3,1,NA,3,13
"487",84540,2,18,4,4,1,15,NA,6
"488",84542,2,31,1,1,1,NA,4,6
"489",84543,1,56,1,1,2,NA,1,7
"490",84545,1,47,3,3,1,NA,4,7
"491",84546,2,61,1,1,2,NA,4,6
"492",84547,2,37,2,2,2,NA,4,12
"493",84548,2,54,4,4,1,NA,4,9
"494",84550,1,29,3,3,1,NA,3,7
"495",84551,1,73,1,1,1,NA,1,4
"496",84552,2,37,4,4,1,NA,3,1
"497",84555,2,56,1,1,1,NA,3,9
"498",84556,1,68,1,1,2,NA,1,12
"499",84558,1,27,5,6,2,NA,5,15
"500",84561,2,55,3,3,1,NA,5,15
"501",84562,2,60,2,2,2,NA,3,1
"502",84564,1,74,2,2,2,NA,1,1
"503",84565,2,25,5,6,2,NA,5,12
"504",84566,2,71,4,4,1,NA,2,2
"505",84567,1,65,3,3,1,NA,4,4
"506",84568,1,72,3,3,1,NA,5,14
"507",84569,2,55,1,1,1,NA,5,15
"508",84575,1,61,4,4,1,NA,5,12
"509",84576,2,46,4,4,1,NA,1,13
"510",84579,2,27,5,6,2,NA,5,15
"511",84580,1,18,5,6,1,11,NA,NA
"512",84581,2,32,2,2,1,NA,5,8
"513",84582,1,66,4,4,1,NA,4,NA
"514",84583,2,56,4,4,2,NA,2,3
"515",84584,2,62,2,2,2,NA,4,NA
"516",84585,1,23,3,3,2,NA,4,15
"517",84586,1,23,1,1,1,NA,2,9
"518",84587,2,22,1,1,1,NA,4,5
"519",84588,1,35,4,4,1,NA,4,7
"520",84592,1,58,5,7,2,NA,1,5
"521",84593,1,40,3,3,1,NA,4,9
"522",84594,2,67,3,3,1,NA,3,15
"523",84595,1,80,3,3,1,NA,5,9
"524",84596,1,26,2,2,1,NA,2,6
"525",84597,2,63,5,6,2,NA,1,5
"526",84600,1,30,3,3,1,NA,2,8
"527",84602,2,63,3,3,1,NA,4,9
"528",84606,1,63,3,3,1,NA,3,4
"529",84607,2,40,1,1,2,NA,1,99
"530",84608,1,70,2,2,1,NA,5,15
"531",84609,1,62,3,3,1,NA,3,15
"532",84610,1,54,3,3,1,NA,4,15
"533",84611,2,59,1,1,2,NA,3,4
"534",84612,1,48,5,6,2,NA,3,99
"535",84614,1,80,3,3,1,NA,4,6
"536",84615,1,54,4,4,1,NA,2,14
"537",84617,2,42,3,3,1,NA,5,8
"538",84618,2,23,1,1,1,NA,4,10
"539",84619,2,41,5,6,2,NA,2,8
"540",84620,2,21,5,6,1,NA,4,10
"541",84622,1,80,4,4,1,NA,1,7
"542",84623,1,53,4,4,2,NA,4,3
"543",84625,2,40,5,6,2,NA,5,12
"544",84626,1,43,2,2,2,NA,4,14
"545",84627,1,80,1,1,1,NA,1,3
"546",84628,2,32,1,1,1,NA,4,9
"547",84629,2,80,3,3,1,NA,4,6
"548",84631,1,57,4,4,1,NA,3,3
"549",84632,2,39,5,6,2,NA,5,12
"550",84637,2,71,4,4,1,NA,5,14
"551",84639,2,30,2,2,2,NA,2,3
"552",84640,2,80,3,3,1,NA,3,14
"553",84641,2,28,4,4,1,NA,2,1
"554",84642,2,54,3,3,1,NA,3,3
"555",84644,2,80,3,3,1,NA,3,7
"556",84645,1,68,2,2,2,NA,5,NA
"557",84646,2,50,3,3,1,NA,5,3
"558",84649,1,80,3,3,1,NA,5,14
"559",84650,2,30,4,4,2,NA,5,15
"560",84652,1,59,4,4,1,NA,5,15
"561",84657,1,35,1,1,2,NA,4,4
"562",84658,2,22,4,4,2,NA,4,7
"563",84659,2,47,4,4,1,NA,5,3
"564",84660,1,40,4,4,1,NA,5,15
"565",84661,1,41,2,2,2,NA,3,6
"566",84662,2,63,4,4,1,NA,4,1
"567",84663,1,18,1,1,1,13,NA,15
"568",84665,2,73,3,3,2,NA,4,15
"569",84668,2,56,4,4,1,NA,2,8
"570",84671,2,25,3,3,1,NA,5,8
"571",84672,2,39,4,4,1,NA,3,4
"572",84673,1,29,2,2,2,NA,4,NA
"573",84675,1,33,5,6,2,NA,5,15
"574",84676,1,70,3,3,1,NA,2,4
"575",84677,2,43,4,4,1,NA,5,14
"576",84679,2,68,4,4,1,NA,2,13
"577",84680,1,60,1,1,2,NA,4,9
"578",84683,2,73,2,2,2,NA,2,12
"579",84685,2,27,3,3,1,NA,3,8
"580",84686,1,23,1,1,1,NA,3,99
"581",84688,2,18,4,4,1,12,NA,1
"582",84689,2,47,5,6,2,NA,5,15
"583",84691,2,80,2,2,2,NA,1,3
"584",84694,1,58,3,3,1,NA,5,15
"585",84695,1,80,1,1,2,NA,1,3
"586",84696,1,61,2,2,1,NA,3,15
"587",84698,2,22,5,7,1,NA,2,7
"588",84700,2,48,4,4,2,NA,3,7
"589",84702,1,47,2,2,2,NA,4,10
"590",84703,1,75,5,6,2,NA,3,5
"591",84704,2,55,3,3,1,NA,4,8
"592",84705,1,75,4,4,1,NA,2,5
"593",84706,2,51,4,4,1,NA,4,15
"594",84707,2,22,3,3,1,NA,5,15
"595",84709,1,18,4,4,1,11,NA,6
"596",84710,2,71,2,2,1,NA,3,5
"597",84711,1,41,5,6,2,NA,5,14
"598",84712,1,34,4,4,1,NA,2,2
"599",84715,1,60,3,3,1,NA,3,4
"600",84716,2,44,3,3,1,NA,2,7
"601",84717,1,50,4,4,1,NA,2,1
"602",84719,1,19,4,4,1,13,NA,7
"603",84720,2,57,1,1,2,NA,2,5
"604",84723,1,47,5,6,2,NA,5,15
